musica|artista|compositor|letra
Tanto Que Aprendi de Amor|Alcione| Fátima Guedes| Tanto que aprendi de amor na vida E agora descobri Que não sei nada mais Força eu fiz pra ter com esse rapaz Só boa companhia Hoje eu gosto demais Sabe que até falta ele me faz Sabe que eu tentei não compreender E dei pra relembrar as coisas mais Pra esquecer Tanto que aprendi de amor Tanto, e daí? Na hora de fugir não me senti capaz Quero o que me sobra dele em mim A boa companhia A vida que ele traz Força eu fiz mas já não faço mais Sei onde me leva essa ilusão Mas não amar também me tira a paz E a emoção
Ai Ai Mata o Papai|Art Popular| Paulo Santana/Jorge Santana| Tô doidinho pra te dar um cheiro ô mulher, veeeeeem cá Não consigo dormir direito de tanto peeeeensar Eu preciso arrumar um jeito de te conquiiiiistar Mas parece que só tem um jeito que é te agaaaarrar( Para  Tudo) Me dá um cheiro no pescoço, de fazer arrepiar Você dizendo ta gostoso, ta gostoso pra danar Entre beijos e carinhos nos dois vamos nos amar Mesmo deitado ou de pé, você vai ser minha mulher_( Refrão) 2x E  Vai  Dizer ! Ai, ai, ai mata o papai Ai, ai, ai mata o papai_ai, ai, ai mata o papai maiiinha... Já que tá gostoso deixa mamãe Deixa mamãe Deixa mamãe Deixa mamãe Já que tá gostoso deeeeeixa mamãe Deixa mamãe Deixa mamãe( Refrão) 2x O  Olodum, o  Olodum salgueirô Salgueirô, salgueirô o  Olodum O  Olodum, o  Olodum salgueirô Salgueirô, salgueirô, salgueirô Salgueirô o  Olodum( Repete  Do  Inïcio  Ao  Fim)
Coral de Anjos|Art Popular|no compositor found| Um coral de anjos cantou Uma linda canção de amor Canção que falava pra mim Que iria ter fim minha dor Depois Vieram os querubins Arcanjos e os serafins Dizendo que o meu coração Dormia em nuvens de paixão De paixão E quando me dava por mim Meu sonho reinava no céu Ouvia o som de clairins Cantava o tom de  Gabriel Os anjelicais tamburins Trilhavam de estrelas pra mim Caminhos de felicidade E na proteção de  Miguel O reino de  Deus era flor Ai foi que  Emanoel Sorrindo nos abençoou Ganhei um novo coração E seu coração me ganhou
Amor Verdadeiro|Alexandre Pires|no compositor found| Olhe dentro de mim Você pode se ver A todo momento O seu jeito de amar Te faz dona de mim E do meu sentimento É o bem que me faz Bem, você é demais Eu me entrego inteiro Quando estou com você Eu percebo que é Amor verdadeiro Tenho medo que um dia talvez Esse amor se desprenda de mim Mas o amor quando é verdadeiro Não se pensa no fim... Me dá teu colo Eu quero me deitar, sentir seu coração Pulsando no embalo da nossa paixão Menina te quero, te amo demais! Me dá teu corpo Só ele pode alimentar o meu prazer Não quero nem sonhar que posso te perder Se eu perder você eu perco minha paz...
Meu Brasil, Meu Doce Amado|Benito Di Paula|no compositor found| Eu não moro em  Realengo Mas confesso, sou  Flamengo Nunca fui a um festival Nunca fui a um festival Tô na minha, e deixe disso Qual, manchete de jornal Pra mulher que pede mais Qual mulher que me quer mais Faz parar Meu coração Tal de amor, poluição Tá na moda, cocotinha Meu amor, minha madrinha Tropical do meu  Brasil Tropical do meu  Brasil Curtição à cearense Vem que vem, que não me vence Das bandeiras coloridas Eu sou rei, sou friburguense Terra, meu planeta paz Canta o pássaro que voa Vou que vou pra onde for Vou que vou pra onde for Faz parar Meu coração Tal de amor, poluição Piso em pedras, meu carinho Meu concreto abandonado Meu  Brasil, meu doce amado Meu  Brasil, meu doce amado Curtição à cearense Vem que vem, que não me vence Das bandeiras coloridas Eu sou rei, sou friburguense Terra, meu planeta paz Canta o pássaro que voa Vou que vou pra onde for Vou que vou pra onde for Faz parar Meu coração Tal de amor, poluição Piso em pedras, meu carinho Meu concreto abandonado Meu  Brasil, meu doce amado Meu  Brasil, meu doce amado
Saudade|Candeia|no compositor found| Saudade dos chorinhos e os chorões Que entre prismas e bordões Embriagavam de harmonia os corações Toda noite era de festa E se ouviam as serestas pelas ruas Sob o clarão da  Lua Saudades do famoso  Zé com  Fome Um sambista de renome Que o meu povo não esquece Saudades de  Paulo da  Portela Esta melodia singela É meu samba, é minha prece Saudade...
Isso É Felicidade|Arlindo Cruz|no compositor found| Se a gente acordar bem com paz e saúde E disposição também, além de atitude Pra trabalhar, vencer e ser feliz na vida É um bom sinal, um bom ponto de partida Se balançar na condução, viver na corda bamba E ainda com inspiração cantar mais um samba Falando de justiça, amor e igualdade Muita força e fé e sua felicidade Ah felicidade é maior Pra quem se dá mais valor Honestidade e suor, eu sou um trabalhador Felicidade maior é ajudar e dividir Voltar pra casa e sorrir, falar com  Deus E dormir Se a gente acordar bem com paz e saúde E disposição também, além de atitude Pra trabalhar, vencer e ser feliz na vida É um bom sinal, um bom ponto de partida Se balançar na condução, viver na corda bamba E ainda com inspiração cantar mais um samba Falando de justiça, amor e igualdade Muita força e fé e sua felicidade Ah felicidade é maior Pra quem se dá mais valor Honestidade e suor, eu sou um trabalhador Felicidade maior é ajudar e dividir Voltar pra casa e sorrir, falar com  Deus E dormir Felicidade é maior Pra quem se dá mais valor Honestidade e suor, eu sou um trabalhador Felicidade maior é ajudar e dividir Voltar pra casa e sorrir, falar com  Deus E dormir
Verde e Rosa|Alcione| Silvio César| Fiz minha cama Pra dormir no chão Forrei com pétalas de rosas Com folhas verdes da mangueira Mandei cobrir meu barracão De pés no chão Cabeça erguida Fui, peito aberto pra avenida E a minha escola desfilou E o povo inteiro levantou E se curvou à mais querida Mangueira, minha estação primeira O carnaval é do povo, é da  Mangueira Mas tem muita gente invejosa Que diz que verde e rosa É muito feio, não combina bem Pois, quem fala desse jeito Só fala por despeito Das cores lindas que a  Mangueira tem Por que, maus observadores Verde e rosa são as cores Da rainha das flores É, senhoras e senhores A  Mangueira tem as cores Da rainha das flores Mangueira, minha estação primeira O carnaval é do povo, é da  Mangueira
Meu Homem|Beth Carvalho|no compositor found|" Meu homem Dormi com saudades suas E sonhei coma liberdade Caminhando livremente Como gente Sob o sol de  Joannesburgo Meu homem passeando pelo parque Sem notar que existem brancos E sem ver que haviam negros Pelos guetos São irmãos brancos e pretos Nos guetos, são irmãos brancos e pretos Meu homem No meu sonho nós dormimos e Abraçados nos amamos Doces beijos, ternos mimos Fui sozinha pra  Namibia E de lá fui pra  Luanda Com os artistas do "" Amandia"" Pra cantar rezas num komba E de lá fui pra kizomba Lá nas terras de  Zumbi Lá nas terras de  Zumbi dos  Palmares Lá nas terras do  Zumbi Ai../.. Aí vi brancos e pretos Me lembrei do "" Apartheid"" E no meio da festança Sem chorar me entristeci Ai meu homem Que vontade de chorar Será quando que meus sonhos, meu homem Serão só doces sonhar Meu homem Meu homem"
Dando Mole Pra Kojak|Bezerra da Silva| Bezerra Da Silva|dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)olha aí dando mole pra kojak, ô mané (qual é...)se você tá dando mole pra kojak, ô mané (qual é...)domingo na pelada só quer jogar no ataquese concentra no botequim e enche a cara de conhaquequando o jogo começa você já está por contafaz um gol de bicicletase liga mané que o gol foi contradando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)foi lá no baile funkninguém me contou, essa eu vichegou com um tremendo avião e perdeu pro famoso mc(buchecha)vê se toma cuidado que a tua batata tá assandovai pro baile com um avião e passa o tempo todorebolandodando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)diz que gosta do ticomas se amarra mesmo é num tecosó te vejo pagando micona favela te chamam de marrecovive sempre botando o carro na frente dos boisnum lugar que só dá um, você sisma que dá doisdando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)olha aí dando mole pra kojak, ô mané (qual é...)tudo bem, dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané (qual é...)dando mole pra kojak, ô mané...
Você É Meu Xodó|Ataulfo Alves| Ataulfo Alves E Wilson Batista| Se não é verdade o que eu vou confessar Eu peço a  Deus pra me castigar Eu não quero ganhar um pão pra comer Se eu não passo noite e dia bis Com pensamento em você Eu já disse o que eu sinto Voçe é o meu xodó Voçe sabe que eu não minto Tenha pena,tenha dónão sei porque Voçe vive reclamando que eu sou ruim Ainda acabdo me aborrecendo Pra não duvidar de mim[ai,você não era assim]
Vai Embora Tristeza|Arlindo Cruz|no compositor found| O vento traz um cheiro de alegriae avisa que o amor pode chegarvai embora tristezaeu preciso sonharvai embora tristezatô querendo amar Faz tempo que não sinto a magiada brisa de um amor em frente ao marvai embora tristezaeu preciso sonharvai embora tristezatô querendo amar Chega de tanta amarguravem meu amor com ternuramanda pra longe a dorme abraça e me curaa lua cheia é quem chamaa areia parece uma camavem e faz acender no meu corpoa verdadeira chama Incendeia meu coração Traz de volta a emoçãoe depois você diz assimé o amor que nasceu pra mim Incendeia meu coraçãotraz de volta a emoçãoe depois você diz assimé o amor que nasceu pra mim La la ia la la ia la iala la ieira la la iara
Solitário|Ataulfo Alves|no compositor found| Solitário Tão solitário Eu passo a vida inteira Só a saudade tem sido a minha companheira Mais uma vez Ela voltou a residir comigo Mais uma vez a cidade Irá ouvir seu amigo Quem desfolhar O meu diário pequenino Há de notar certamente Um nome feminino No fim da quinta linha De uma página amarela Lá está com tinta roxa Escrito o nome dela Mais uma vez eu amei Mais um amor eu perdi Mais uma vez eu chorei Mais um poema escrevi E quem me censurar Naturalmente ainda não sofreu E quem não teve um amor e perdeu Não pode avaliar o sofrimento meu.
Cantando Eu Aprendi|Arlindo Cruz|no compositor found| O mundo já brincou, comigo assimlembro o meu grande amor foi tão ruimcantando eu esqueci as noites que choreisofrendo, sentindo saudade Cantando eu aprendi,que a vida é um vai e vemde mágoas e felicidades. O que a vida te der guarda,o que é bom de guardarnão se perca da fé,manda a tristeza pra lá E cante o ano inteiro cante no terraçocante no terreiro cantando na chuvaaté chuveiro tem sempre o canto de homem cantar O ditado é quem canta os males espantao nó da garganta ajuda a desatarnão perca a esperança levanta essa vozvem comigo cantarlalaialaialaia, lalaialaialaianão perca a esperança levanta essa vozvem comigo cantarlalaialaialaia, lalaialaialaianão perca a esperança levanta essa vozvem comigo cantar*************************** Enviado por: Luiza -  Rio de  Janeiro
Amizade|Ary Barroso| Ary Barroso -1929| Eu vou contar uma história antiga Já tão comum que até fadiga Foi um coração que não soube amar Nem soube guardar sua amada(uma jóia adorada) Um certo dia quando o sol morria Vim a saber do fim daquele amor Ela só pensava com pavor Em quem lhe faz sofrer Vós que sois loucos amantes Hoje em dia não se vê Amizade como d'antes2447 Ficha técnica da faixa Voz:  Francisco  Alves Orquestra  Pan  Americana[  Samba-canção, oferecido a  Mário  Reis -  Odeon 10.366 B -  Intérprete  Francisco  Alves com a  Orquestra  Pan  Americana - lançada em abril de 1929 ]
O Bem|Arlindo Cruz|no compositor found| O  Bem, ilumina o sorriso Também pode dar proteção O  Bem é o verdadeiro amigo É quem dá o abrigo É quem estende a mão No mundo de armadilhas e pecados Armado, tão carente de amor Às vezes é bem mais valorizado Amado, endeusado quem é traidor E o  Bem é pra acabar com o desamor Se a luz do sol não para de brilhar Se ainda existe noite e luar O mal não pode superar Quem tem fé pra rezar diz amém E ver que todo mundo é capaz De ter um mundo só de amor e paz Quando faz só o bem Quando só faz o bem (2x) O  Bem, ilumina o sorriso Também pode dar proteção O  Bem é o verdadeiro amigo É quem dá o abrigo É quem estende a mão No mundo de armadilhas e pecados Armado, tão carente de amor Às vezes é bem mais valorizado Amado, endeusado quem é traidor E o  Bem é pra acabar com o desamor Se a luz do sol não para de brilhar Se ainda existe noite e luar O mal não pode superar Quem tem fé pra rezar diz amém E ver que todo mundo é capaz De ter um mundo só de amor e paz Quando faz só o bem Quando só faz o bem (2x)
Acalentava|Candeia|no compositor found| Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava Era minha mãea minha mãezinhaque me acalentavaa noite inteirinha( Eu chorei) Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava Meu pai me batia Ai, como apanhava Era minha mãequem me consolava( Eu chorei) Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava Até a vizinhapraga me jogava Era minha mãequem me abençoava( Eu chorei) Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava Fugia pra ruana rua brigava Era minha mãequem desapartava( Eu chorei) Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava E a professoraquando me reprovava Era minha mãequem me incentivava( Eu chorei) Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava Hoje tenho a pazque tanto sonhava Graças a minha mãeque tudo perdoava( Eu chorei) Eu chorei, eu chorava Era minha mãeque me acalentava Eu chorei, eu chorava Era minha mãeque me acalentava
Vai Chover Hoje, Urubu?|Bezerra da Silva|no compositor found| Vai  Chover  Hoje  Urubu? Não,  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Não  Vai Urubu  Quando  Vê  Chuva Começa  Logo  Voar Progurando  Uma  Malôca Com  Medo  De  Se  Molhar Mesmo  Assim o  Indivíduo Não  Procura  Trabalhar Vai  Chover  Hoje  Urubu? Não,  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Não  Vai Urubu  Adora o  Sol Principalmente o  Calor Mas  Quando  Fica  Molhado Ele  Clama  De  Horror Chora  Igual  Moça  Donzela Quando  Perde o  Seu  Amor Vai  Chover  Hoje  Urubu? Não,  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Vai Vai  Chover  Hoje  Urubu? Não,  Não  Não  Vai Repeti  Tudo
